Series,Driver,Team,Number,Chartered,Car ID,Selection Weight,Weight,Entry Weight,Specialty,Active
Cup,Corey Heim,23XI,23,Yes,23,,0.7,,Intermediate,Yes
Cup,Cole Custer,23XI,35,Yes,35,,1,,Short Track,Yes
Cup,Tyler Reddick,23XI,45,Yes,45,,0.7,,Road Course,Yes
Cup,Ty Dillon,Front Row Racing,10,Yes,10,,1.1,,Intermediate,Yes
Cup,Todd Gilliland,Front Row Racing,34,Yes,34,,0.5,,Intermediate,Yes
Cup,Zane Smith,Front Row Racing,38,Yes,38,,1,,,Yes
Cup,Ricky Stenhouse Jr.,HAAS Factory,41,Yes,41,,3,,,Yes
Cup,Kyle Larson,Hendrick Motorsports,5,Yes,5,,0.5,,Short Track,Yes
Cup,Chase Elliott,Hendrick Motorsports,9,Yes,9,,0.5,,Road Course,Yes
Cup,William Byron,Hendrick Motorsports,24,Yes,24,,0.7,,,Yes
Cup,John H. Nemechek,Hendrick Motorsports,48,Yes,48,,1.1,,,Yes
Cup,Erik Jones,HYAK Garage,47,Yes,47,,2.5,,Intermediate,Yes
Cup,Sammy Smith,JR Motorsports,8,Yes,8,,1.2,,Intermediate,Yes
Cup,Brandon Jones,Joe Gibbs Racing,11,Yes,11,,1,,Road Course,Yes
Cup,Chase Briscoe,Joe Gibbs Racing,19,Yes,19,,0.5,,Intermediate,Yes
Cup,Christopher Bell,Joe Gibbs Racing,20,Yes,20,,0.8,,Road Course,Yes
Cup,Ty Gibbs,Joe Gibbs Racing,54,Yes,54,,0.6,,,Yes
Cup,Josh Berry,Kaulig,16,Yes,16,,1.9,,Superspeedway,Yes
Cup,Daniel Suarez,Legacy Motor Club,13,Yes,13,,2.2,,Intermediate,Yes
Cup,Austin Cindric,Legacy Motor Club,42,Yes,42,,1.1,,Superspeedway,Yes
Cup,Bubba Wallace,Legacy Motor Club,43,Yes,43,,1,,Superspeedway,Yes
Cup,Ryan Blaney,Penske,12,Yes,12,,0.5,,Superspeedway,Yes
Cup,Joey Logano,Penske,22,Yes,22,,0.7,,Short Track,Yes
Cup,Jesse Love,Richard Childress,2,Yes,2,,1.4,,,Yes
Cup,Austin Dillon,Richard Childress,3,Yes,3,,3,,Short Track,Yes
Cup,Ryan Preece,Roush Fenway Keselowski,6,Yes,6,,0.6,,Intermediate,Yes
Cup,Chris Buescher,Roush Fenway Keselowski,17,Yes,17,,0.5,,Road Course,Yes
Cup,Alex Bowman,Roush Fenway Keselowski,60,Yes,60,,1.1,,,Yes
Cup,Corey Day,Spire,7,Yes,7,,1.1,,,Yes
Cup,Michael McDowell,Spire,71,Yes,71,,2.5,,Road Course,Yes
Cup,Carson Hocevar,Spire,77,Yes,77,,0.7,,,Yes
Cup,Jake Garcia,ThorSport,98,Yes,98,,1.4,,Intermediate,Yes
Cup,Ross Chastain,Trackhouse,1,Yes,1,,1.3,,,Yes
Cup,Connor Zilisch,Trackhouse,88,Yes,88,,1.1,,Road Course,Yes
Cup,Shane van Gisbergen,Trackhouse,97,Yes,97,,2.1,,Road Course,Yes
Cup,AJ Allmendinger,Wood Brothers,21,Yes,21,,0.8,,Road Course,Yes
Cup,Taylor Gray,23XI,67,No,67,,2,1.5,,Yes
Cup,Anthony Alfredo,Beard Motorsports,62,No,62,,2.5,4,,Yes
Cup,Layne Riggs,Front Row,36,No,36,,1.1,4,,Yes
Cup,Carson Kvapil,JR Motorsports,40,No,40,,1.3,2,,Yes
Cup,Justin Haley,Kaulig,31,No,31,,2.7,1.5,,Yes
Cup,Daniel Dye,LiveFast,78,No,78,,3,1,,Yes
Cup,Tyler Ankrum,Penske,33,No,33,,1.4,3,,Yes
Cup,Riley Herbst,Rick Ware,15,No,15,,1.9,10,,Yes
Cup,Cody Ware,Rick Ware,51,No,51,,3,10,,Yes
O'Reilly,Brennan Poole,Alpha Prime,44,Yes,44,,1.3,,,Yes
O'Reilly,Lavar Scott,Alpha Prime,45,Yes,45,,1.2,,,Yes
O'Reilly,Alex Labbe,Big Machine,48,Yes,48,,0.9,,,Yes
O'Reilly,Sage Karam,DGM Racing,91,Yes,91,1.5,2.3,,,Yes
O'Reilly,Dexter Bean,DGM Racing,91,Yes,91,1,2.7,,,Yes
O'Reilly,Layne Riggs,DGM Racing,92,Yes,92,2.5,0.9,,,Yes
O'Reilly,Josh Williams,DGM Racing,92,Yes,92,1,2.6,,,Yes
O'Reilly,Preston Pardus,DGM Racing,92,Yes,92,1.5,3,,,Yes
O'Reilly,Sheldon Creed,HAAS Factory,00,Yes,00,,0.6,,,Yes
O'Reilly,Sam Mayer,HAAS Factory,41,Yes,41,,0.5,,,Yes
O'Reilly,Kaz Grala,Hendrick,17,Yes,17,,0.8,,,Yes
O'Reilly,Jeremy Clements,Jeremy Clements Racing,51,Yes,51,,1.8,,,Yes
O'Reilly,William Sawalich,Joe Gibbs,18,Yes,18,,0.5,,,Yes
O'Reilly,Aric Almirola,Joe Gibbs,19,Yes,19,0.5,0.6,,,Yes
O'Reilly,Ryan Truex,Joe Gibbs,19,Yes,19,2,2,,,Yes
O'Reilly,Gio Ruggiero,Joe Gibbs,19,Yes,19,1,0.8,,,Yes
O'Reilly,Brent Crews,Joe Gibbs,20,Yes,20,,0.7,,,Yes
O'Reilly,Taylor Gray,Joe Gibbs,54,Yes,54,,0.5,,,Yes
O'Reilly,Mason Maggio,Joey Gase Motorsports,53,Yes,53,1.5,2.8,,,Yes
O'Reilly,Chad Finchum,Joey Gase Motorsports,53,Yes,53,0.5,2,,,Yes
O'Reilly,Brad Perez,Joey Gase Motorsports,53,Yes,53,1,2.6,,,Yes
O'Reilly,Joey Gase,Joey Gase Motorsports,55,Yes,55,,1.3,,,Yes
O'Reilly,Jeb Burton,Jordan Anderson,27,Yes,27,,0.6,,,Yes
O'Reilly,Blaine Perkins,Jordan Anderson,31,Yes,31,,1.2,,,Yes
O'Reilly,Layne Riggs,Jordan Anderson,32,Yes,32,0.5,0.7,,,Yes
O'Reilly,Jordan Anderson,Jordan Anderson,32,Yes,32,2,2,,,Yes
O'Reilly,Carson Kvapil,JR Motorsports,1,Yes,1,,0.6,,,Yes
O'Reilly,Raphael Lessard,JR Motorsports,7,Yes,7,,0.7,,,Yes
